function	gene	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25
Resp	YGL191W	2.96362 - 5.36377	2.27225 - 4.31204	-3.45235 - -1.95551	< -2.93219	0.575969 - 0.951233	-0.0670098 - 0.370891	0.559976 - 1.14374	0.498102 - 0.888346	-0.333791 - -0.103436	-0.573237 - -0.24581	0.0567379 - 0.303004	0.308063 - 0.528452	0.777881 - 1.54386	-0.24542 - -0.0386652	0.33614 - 0.707889	-0.067954 - 0.166896	-0.622271 - -0.405256	0.367606 - 0.588167	-0.37434 - -0.193563	0.528279 - 0.935366	≥ 0.781302	-0.900182 - -0.613833	0.519875 - 0.771311	0.529312 - 0.846813	≥ 0.893637
Resp	YLR395C	2.96362 - 5.36377	2.27225 - 4.31204	< -3.45235	< -2.93219	-0.437616 - 0.116722	0.370891 - 0.917994	0.253326 - 0.559976	-1.70937 - -1.02478	< -1.5339	0.215548 - 0.524465	0.303004 - 0.524226	0.805687 - 1.34529	0.200137 - 0.459517	< -1.22843	0.33614 - 0.707889	-0.282942 - -0.067954	0.372761 - 0.561059	-1.06673 - -0.629906	0.527055 - 0.984347	0.177247 - 0.326032	0.386712 - 0.549829	< -0.900182	0.0549996 - 0.160593	0.0601571 - 0.294794	0.36998 - 0.573122
Resp	YBL099W	-1.87322 - 2.96362	≥ 4.31204	-3.45235 - -1.95551	-1.00746 - -0.433048	0.575969 - 0.951233	≥ 2.1255	≥ 2.10432	≥ 1.53479	1.00217 - 1.56225	≥ 1.45871	0.0567379 - 0.303004	0.805687 - 1.34529	≥ 1.54386	0.669964 - 1.12356	0.15896 - 0.33614	-0.444354 - -0.282942	-0.174611 - -0.0273938	0.588167 - 1.0153	-0.0444716 - 0.0936803	-0.537477 - -0.309045	-0.308823 - -0.0792995	0.477439 - 0.87368	≥ 0.771311	≥ 0.846813	0.36998 - 0.573122
Resp	YDR298C	-1.87322 - 2.96362	≥ 4.31204	-3.45235 - -1.95551	-1.99724 - -1.00746	-1.2472 - -0.437616	≥ 2.1255	1.14374 - 2.10432	≥ 1.53479	-1.00963 - -0.67939	-1.59043 - -0.869533	-0.771468 - -0.451247	≥ 1.34529	0.200137 - 0.459517	-0.24542 - -0.0386652	≥ 1.0854	-0.282942 - -0.067954	0.561059 - 1.01778	< -1.06673	-0.37434 - -0.193563	< -1.01567	0.549829 - 0.781302	0.207664 - 0.283336	< -0.949145	-0.527216 - -0.31183	0.573122 - 0.893637
Resp	YJR121W	-1.87322 - 2.96362	≥ 4.31204	-3.45235 - -1.95551	-1.99724 - -1.00746	0.951233 - 1.6518	≥ 2.1255	≥ 2.10432	≥ 1.53479	-0.103436 - 0.141737	-0.0742138 - 0.215548	-0.451247 - -0.164623	-0.794636 - -0.476743	0.777881 - 1.54386	-0.24542 - -0.0386652	0.707889 - 1.0854	-0.444354 - -0.282942	-1.00002 - -0.622271	0.17113 - 0.367606	0.527055 - 0.984347	0.528279 - 0.935366	0.549829 - 0.781302	-0.383712 - -0.147248	< -0.949145	-0.31183 - -0.183446	0.573122 - 0.893637
Resp	YLR038C	2.96362 - 5.36377	1.22464 - 2.27225	< -3.45235	< -2.93219	< -2.60633	-0.333751 - -0.0670098	0.253326 - 0.559976	-0.0103348 - 0.237892	0.492027 - 1.00217	≥ 1.45871	-0.771468 - -0.451247	< -1.3658	-0.802946 - -0.496845	0.489747 - 0.669964	0.33614 - 0.707889	-0.067954 - 0.166896	-0.622271 - -0.405256	-0.629906 - -0.33811	0.267107 - 0.527055	-0.0953163 - 0.0342379	0.198076 - 0.386712	-0.147248 - 0.0525043	0.160593 - 0.351944	≥ 0.846813	0.36998 - 0.573122
Resp	YPL078C	-1.87322 - 2.96362	-0.323711 - 0.352621	< -3.45235	< -2.93219	< -2.60633	0.917994 - 1.41578	≥ 2.10432	≥ 1.53479	-1.5339 - -1.00963	0.215548 - 0.524465	0.303004 - 0.524226	-1.3658 - -0.794636	0.777881 - 1.54386	0.489747 - 0.669964	-0.0530638 - 0.15896	0.40824 - 0.678926	-0.622271 - -0.405256	0.17113 - 0.367606	-0.37434 - -0.193563	-1.01567 - -0.537477	< -0.947849	0.0525043 - 0.207664	-0.448052 - -0.296289	0.0601571 - 0.294794	-0.206293 - 0.0027569
Resp	YDR377W	-1.87322 - 2.96362	1.22464 - 2.27225	< -3.45235	-1.99724 - -1.00746	-0.437616 - 0.116722	-1.62041 - -0.904866	≥ 2.10432	0.237892 - 0.498102	< -1.5339	0.878362 - 1.45871	< -1.20377	< -1.3658	< -1.13556	≥ 1.12356	< -1.10289	0.678926 - 1.23123	0.372761 - 0.561059	< -1.06673	-0.37434 - -0.193563	< -1.01567	0.198076 - 0.386712	≥ 0.87368	< -0.949145	≥ 0.846813	-0.869476 - -0.557685
Resp	YLR295C	2.96362 - 5.36377	0.352621 - 1.22464	< -3.45235	< -2.93219	-1.2472 - -0.437616	< -2.3691	-1.91176 - -0.988662	≥ 1.53479	0.492027 - 1.00217	-0.869533 - -0.573237	0.303004 - 0.524226	-1.3658 - -0.794636	-1.13556 - -0.802946	0.489747 - 0.669964	< -1.10289	0.40824 - 0.678926	0.561059 - 1.01778	≥ 1.0153	-0.886108 - -0.620673	< -1.01567	-0.947849 - -0.587246	0.0525043 - 0.207664	-0.128279 - 0.0549996	0.529312 - 0.846813	0.186317 - 0.36998
Resp	YBR039W	-1.87322 - 2.96362	< -3.07807	< -3.45235	0.531467 - 1.22558	-0.437616 - 0.116722	-2.3691 - -1.62041	≥ 2.10432	≥ 1.53479	0.141737 - 0.492027	≥ 1.45871	≥ 1.27537	0.805687 - 1.34529	≥ 1.54386	< -1.22843	0.707889 - 1.0854	≥ 1.23123	≥ 1.01778	-0.629906 - -0.33811	< -0.886108	0.0342379 - 0.177247	0.0432133 - 0.198076	-0.900182 - -0.613833	-0.949145 - -0.448052	< -0.872897	≥ 0.893637
Resp	YDL004W	-1.87322 - 2.96362	-0.323711 - 0.352621	-1.12887 - -0.382426	1.8757 - 2.71596	0.951233 - 1.6518	< -2.3691	≥ 2.10432	≥ 1.53479	< -1.5339	< -1.59043	-0.451247 - -0.164623	≥ 1.34529	≥ 1.54386	-0.0386652 - 0.270683	≥ 1.0854	-1.16585 - -0.762285	< -1.00002	-0.33811 - -0.1104	-0.193563 - -0.0444716	-0.537477 - -0.309045	-0.947849 - -0.587246	≥ 0.87368	< -0.949145	≥ 0.846813	< -0.869476
Resp	YKL016C	-1.87322 - 2.96362	≥ 4.31204	-1.95551 - -1.12887	< -2.93219	≥ 2.25045	-1.62041 - -0.904866	< -1.91176	≥ 1.53479	≥ 1.56225	-1.59043 - -0.869533	0.812305 - 1.27537	< -1.3658	≥ 1.54386	< -1.22843	0.707889 - 1.0854	≥ 1.23123	< -1.00002	0.367606 - 0.588167	0.527055 - 0.984347	-1.01567 - -0.537477	< -0.947849	0.477439 - 0.87368	-0.448052 - -0.296289	≥ 0.846813	0.186317 - 0.36998
Resp	YJL166W	2.96362 - 5.36377	≥ 4.31204	-3.45235 - -1.95551	-2.93219 - -1.99724	-2.60633 - -1.6315	< -2.3691	< -1.91176	0.888346 - 1.53479	1.00217 - 1.56225	< -1.59043	0.812305 - 1.27537	0.528452 - 0.805687	-0.347348 - -0.128749	0.270683 - 0.489747	0.707889 - 1.0854	-0.444354 - -0.282942	-0.405256 - -0.174611	0.0347436 - 0.17113	0.527055 - 0.984347	0.528279 - 0.935366	0.549829 - 0.781302	< -0.900182	≥ 0.771311	-0.527216 - -0.31183	0.186317 - 0.36998
Resp	YPL271W	2.96362 - 5.36377	< -3.07807	< -3.45235	-1.99724 - -1.00746	≥ 2.25045	-0.904866 - -0.333751	0.253326 - 0.559976	0.498102 - 0.888346	1.00217 - 1.56225	< -1.59043	< -1.20377	< -1.3658	0.459517 - 0.777881	-0.451344 - -0.24542	0.33614 - 0.707889	-1.16585 - -0.762285	0.138608 - 0.372761	< -1.06673	≥ 0.984347	< -1.01567	-0.308823 - -0.0792995	< -0.900182	≥ 0.771311	< -0.872897	≥ 0.893637
Ribo	YKL180W	-3.84266 - -3.55524	0.352621 - 1.22464	1.1829 - 1.82932	1.22558 - 1.8757	< -2.60633	-0.904866 - -0.333751	0.253326 - 0.559976	< -1.70937	1.00217 - 1.56225	-1.59043 - -0.869533	< -1.20377	-1.3658 - -0.794636	≥ 1.54386	0.270683 - 0.489747	-0.425273 - -0.228786	-0.067954 - 0.166896	-0.622271 - -0.405256	0.588167 - 1.0153	-0.37434 - -0.193563	-0.309045 - -0.0953163	≥ 0.781302	≥ 0.87368	< -0.949145	-0.527216 - -0.31183	-0.869476 - -0.557685
Ribo	YDL184C	-2.84061 - -2.46131	1.22464 - 2.27225	1.1829 - 1.82932	< -2.93219	-2.60633 - -1.6315	-0.0670098 - 0.370891	≥ 2.10432	-0.0103348 - 0.237892	≥ 1.56225	≥ 1.45871	0.303004 - 0.524226	-0.476743 - -0.1735	0.777881 - 1.54386	≥ 1.12356	≥ 1.0854	< -1.16585	-0.174611 - -0.0273938	< -1.06673	0.267107 - 0.527055	0.326032 - 0.528279	-0.0792995 - 0.0432133	-0.900182 - -0.613833	-0.128279 - 0.0549996	-0.872897 - -0.527216	-0.206293 - 0.0027569
Proteas	YML092C	5.36377 - 7.14999	< -3.07807	0.125754 - 0.608969	-2.93219 - -1.99724	-2.60633 - -1.6315	≥ 2.1255	-0.669729 - -0.327772	-0.659428 - -0.235078	1.00217 - 1.56225	-0.24581 - -0.0742138	-0.771468 - -0.451247	< -1.3658	-0.128749 - 0.200137	-1.22843 - -0.77954	≥ 1.0854	≥ 1.23123	-1.00002 - -0.622271	-0.629906 - -0.33811	< -0.886108	≥ 0.935366	0.549829 - 0.781302	0.0525043 - 0.207664	≥ 0.771311	0.529312 - 0.846813	< -0.869476
Ribo	YBR048W	< -3.84266	-0.323711 - 0.352621	1.82932 - 3.17619	0.0172426 - 0.531467	0.575969 - 0.951233	0.917994 - 1.41578	-1.91176 - -0.988662	< -1.70937	≥ 1.56225	≥ 1.45871	< -1.20377	0.805687 - 1.34529	≥ 1.54386	< -1.22843	< -1.10289	-0.762285 - -0.444354	≥ 1.01778	-1.06673 - -0.629906	-0.193563 - -0.0444716	0.0342379 - 0.177247	< -0.947849	-0.900182 - -0.613833	-0.949145 - -0.448052	0.294794 - 0.529312	-0.869476 - -0.557685
Ribo	YDR450W	< -3.84266	0.352621 - 1.22464	≥ 3.17619	1.8757 - 2.71596	-2.60633 - -1.6315	< -2.3691	-0.669729 - -0.327772	< -1.70937	0.492027 - 1.00217	0.524465 - 0.878362	-0.771468 - -0.451247	-1.3658 - -0.794636	≥ 1.54386	-0.24542 - -0.0386652	≥ 1.0854	-0.444354 - -0.282942	-0.0273938 - 0.138608	< -1.06673	0.0936803 - 0.267107	-0.537477 - -0.309045	-0.587246 - -0.308823	< -0.900182	-0.448052 - -0.296289	≥ 0.846813	-0.869476 - -0.557685
Ribo	YHL033C	< -3.84266	1.22464 - 2.27225	≥ 3.17619	1.8757 - 2.71596	-2.60633 - -1.6315	-0.0670098 - 0.370891	-0.0921005 - 0.253326	-1.70937 - -1.02478	≥ 1.56225	0.524465 - 0.878362	-1.20377 - -0.771468	-0.794636 - -0.476743	0.459517 - 0.777881	-0.451344 - -0.24542	-0.0530638 - 0.15896	-1.16585 - -0.762285	-0.174611 - -0.0273938	0.367606 - 0.588167	0.0936803 - 0.267107	-0.309045 - -0.0953163	-0.947849 - -0.587246	-0.900182 - -0.613833	-0.949145 - -0.448052	≥ 0.846813	-0.557685 - -0.371889
Ribo	YBR189W	-2.84061 - -2.46131	-3.07807 - -1.98319	0.125754 - 0.608969	1.22558 - 1.8757	< -2.60633	-0.0670098 - 0.370891	-0.669729 - -0.327772	-0.659428 - -0.235078	≥ 1.56225	0.878362 - 1.45871	< -1.20377	0.308063 - 0.528452	0.777881 - 1.54386	< -1.22843	< -1.10289	-0.444354 - -0.282942	-0.0273938 - 0.138608	0.588167 - 1.0153	-0.0444716 - 0.0936803	0.177247 - 0.326032	0.198076 - 0.386712	0.477439 - 0.87368	< -0.949145	-0.872897 - -0.527216	0.36998 - 0.573122
Ribo	YBR191W	-2.46131 - -1.87322	-3.07807 - -1.98319	-0.382426 - 0.125754	0.531467 - 1.22558	< -2.60633	-0.0670098 - 0.370891	-0.988662 - -0.669729	-1.02478 - -0.659428	≥ 1.56225	0.878362 - 1.45871	< -1.20377	-0.476743 - -0.1735	0.459517 - 0.777881	-1.22843 - -0.77954	< -1.10289	-0.444354 - -0.282942	0.372761 - 0.561059	-0.1104 - 0.0347436	-0.0444716 - 0.0936803	-0.309045 - -0.0953163	0.0432133 - 0.198076	0.207664 - 0.283336	< -0.949145	-0.183446 - -0.0669247	0.0027569 - 0.186317
Ribo	YBL087C	-3.10837 - -2.84061	-1.98319 - -1.55052	-0.382426 - 0.125754	≥ 2.71596	< -2.60633	0.917994 - 1.41578	1.14374 - 2.10432	-0.659428 - -0.235078	≥ 1.56225	≥ 1.45871	-1.20377 - -0.771468	-0.1735 - 0.0512376	0.459517 - 0.777881	-1.22843 - -0.77954	-1.10289 - -0.777968	0.40824 - 0.678926	0.372761 - 0.561059	-0.629906 - -0.33811	0.0936803 - 0.267107	-0.537477 - -0.309045	0.386712 - 0.549829	≥ 0.87368	-0.448052 - -0.296289	-0.31183 - -0.183446	0.186317 - 0.36998
Ribo	YHL001W	-3.10837 - -2.84061	-1.98319 - -1.55052	0.125754 - 0.608969	≥ 2.71596	-2.60633 - -1.6315	-0.333751 - -0.0670098	0.253326 - 0.559976	-1.70937 - -1.02478	≥ 1.56225	-0.24581 - -0.0742138	-0.451247 - -0.164623	< -1.3658	-0.347348 - -0.128749	≥ 1.12356	≥ 1.0854	-0.282942 - -0.067954	-0.622271 - -0.405256	-1.06673 - -0.629906	0.527055 - 0.984347	< -1.01567	-0.947849 - -0.587246	-0.613833 - -0.383712	< -0.949145	≥ 0.846813	0.0027569 - 0.186317
Ribo	YOR167C	-3.55524 - -3.10837	1.22464 - 2.27225	-1.12887 - -0.382426	-1.99724 - -1.00746	-0.437616 - 0.116722	1.41578 - 2.1255	0.253326 - 0.559976	< -1.70937	-0.67939 - -0.333791	-1.59043 - -0.869533	-1.20377 - -0.771468	0.805687 - 1.34529	-1.13556 - -0.802946	-1.22843 - -0.77954	≥ 1.0854	0.166896 - 0.40824	-0.0273938 - 0.138608	-0.629906 - -0.33811	0.527055 - 0.984347	< -1.01567	0.386712 - 0.549829	-0.613833 - -0.383712	0.351944 - 0.519875	0.294794 - 0.529312	0.36998 - 0.573122
Ribo	YER102W	< -3.84266	2.27225 - 4.31204	1.1829 - 1.82932	-0.433048 - 0.0172426	0.951233 - 1.6518	0.370891 - 0.917994	-0.988662 - -0.669729	0.888346 - 1.53479	1.00217 - 1.56225	-1.59043 - -0.869533	0.0567379 - 0.303004	-0.476743 - -0.1735	0.459517 - 0.777881	-0.0386652 - 0.270683	-0.777968 - -0.425273	-0.282942 - -0.067954	-0.622271 - -0.405256	-0.33811 - -0.1104	-0.37434 - -0.193563	0.528279 - 0.935366	-0.947849 - -0.587246	0.283336 - 0.477439	-0.128279 - 0.0549996	-0.183446 - -0.0669247	0.36998 - 0.573122
Ribo	YJL191W	-1.87322 - 2.96362	< -3.07807	< -3.45235	1.22558 - 1.8757	0.575969 - 0.951233	0.370891 - 0.917994	-0.0921005 - 0.253326	-1.70937 - -1.02478	-1.5339 - -1.00963	≥ 1.45871	-0.451247 - -0.164623	0.308063 - 0.528452	-1.13556 - -0.802946	-0.77954 - -0.451344	0.33614 - 0.707889	≥ 1.23123	-0.174611 - -0.0273938	≥ 1.0153	-0.620673 - -0.37434	< -1.01567	-0.308823 - -0.0792995	0.207664 - 0.283336	-0.296289 - -0.128279	-0.527216 - -0.31183	0.186317 - 0.36998
Ribo	YJL190C	< -3.84266	-0.323711 - 0.352621	0.125754 - 0.608969	1.22558 - 1.8757	-0.437616 - 0.116722	-0.904866 - -0.333751	-0.669729 - -0.327772	-1.02478 - -0.659428	-1.5339 - -1.00963	0.215548 - 0.524465	-1.20377 - -0.771468	0.805687 - 1.34529	0.777881 - 1.54386	-0.77954 - -0.451344	0.33614 - 0.707889	0.40824 - 0.678926	-0.174611 - -0.0273938	-1.06673 - -0.629906	0.527055 - 0.984347	-1.01567 - -0.537477	-0.0792995 - 0.0432133	0.283336 - 0.477439	-0.448052 - -0.296289	-0.872897 - -0.527216	0.0027569 - 0.186317
Ribo	YLR264W	-3.55524 - -3.10837	0.352621 - 1.22464	1.82932 - 3.17619	1.8757 - 2.71596	-1.2472 - -0.437616	0.917994 - 1.41578	0.559976 - 1.14374	< -1.70937	-1.00963 - -0.67939	-0.869533 - -0.573237	< -1.20377	0.805687 - 1.34529	0.459517 - 0.777881	0.669964 - 1.12356	-0.0530638 - 0.15896	0.166896 - 0.40824	-0.622271 - -0.405256	-0.629906 - -0.33811	≥ 0.984347	-0.537477 - -0.309045	-0.587246 - -0.308823	0.283336 - 0.477439	-0.448052 - -0.296289	-0.31183 - -0.183446	0.36998 - 0.573122
Ribo	YMR121C	-3.10837 - -2.84061	-0.323711 - 0.352621	1.1829 - 1.82932	≥ 2.71596	< -2.60633	-0.904866 - -0.333751	0.559976 - 1.14374	-1.70937 - -1.02478	-0.333791 - -0.103436	-0.573237 - -0.24581	-0.451247 - -0.164623	-1.3658 - -0.794636	0.459517 - 0.777881	-0.77954 - -0.451344	0.15896 - 0.33614	-0.762285 - -0.444354	-0.0273938 - 0.138608	0.588167 - 1.0153	0.267107 - 0.527055	-0.309045 - -0.0953163	-0.308823 - -0.0792995	-0.383712 - -0.147248	0.519875 - 0.771311	≥ 0.846813	0.186317 - 0.36998
Ribo	YLR029C	< -3.84266	2.27225 - 4.31204	1.82932 - 3.17619	1.22558 - 1.8757	-2.60633 - -1.6315	-0.904866 - -0.333751	-0.0921005 - 0.253326	< -1.70937	0.141737 - 0.492027	-0.573237 - -0.24581	0.0567379 - 0.303004	-0.1735 - 0.0512376	-0.347348 - -0.128749	-0.77954 - -0.451344	-0.0530638 - 0.15896	-1.16585 - -0.762285	0.138608 - 0.372761	≥ 1.0153	< -0.886108	-1.01567 - -0.537477	0.549829 - 0.781302	0.283336 - 0.477439	≥ 0.771311	0.529312 - 0.846813	0.573122 - 0.893637
Ribo	YDR500C	-2.46131 - -1.87322	-1.98319 - -1.55052	-1.12887 - -0.382426	≥ 2.71596	< -2.60633	-2.3691 - -1.62041	0.253326 - 0.559976	-0.235078 - -0.0103348	0.141737 - 0.492027	0.524465 - 0.878362	-0.451247 - -0.164623	-0.476743 - -0.1735	< -1.13556	0.270683 - 0.489747	≥ 1.0854	-0.282942 - -0.067954	-1.00002 - -0.622271	0.0347436 - 0.17113	0.267107 - 0.527055	0.177247 - 0.326032	-0.587246 - -0.308823	-0.147248 - 0.0525043	0.0549996 - 0.160593	-0.31183 - -0.183446	< -0.869476
Ribo	YDR025W	< -3.84266	-0.789981 - -0.323711	1.82932 - 3.17619	1.8757 - 2.71596	≥ 2.25045	-2.3691 - -1.62041	-0.669729 - -0.327772	≥ 1.53479	0.141737 - 0.492027	-1.59043 - -0.869533	-0.771468 - -0.451247	< -1.3658	0.459517 - 0.777881	< -1.22843	0.15896 - 0.33614	0.40824 - 0.678926	0.372761 - 0.561059	-0.33811 - -0.1104	0.0936803 - 0.267107	0.326032 - 0.528279	0.549829 - 0.781302	-0.613833 - -0.383712	0.0549996 - 0.160593	0.529312 - 0.846813	-0.869476 - -0.557685
Ribo	YGR027C	-3.84266 - -3.55524	2.27225 - 4.31204	-1.12887 - -0.382426	0.0172426 - 0.531467	-2.60633 - -1.6315	0.370891 - 0.917994	0.253326 - 0.559976	-0.235078 - -0.0103348	0.492027 - 1.00217	-0.573237 - -0.24581	0.812305 - 1.27537	0.308063 - 0.528452	-1.13556 - -0.802946	0.669964 - 1.12356	-0.425273 - -0.228786	-1.16585 - -0.762285	≥ 1.01778	-1.06673 - -0.629906	< -0.886108	0.0342379 - 0.177247	-0.947849 - -0.587246	-0.147248 - 0.0525043	-0.128279 - 0.0549996	-0.183446 - -0.0669247	0.573122 - 0.893637
Ribo	YDL083C	-3.84266 - -3.55524	0.352621 - 1.22464	0.608969 - 1.1829	< -2.93219	1.6518 - 2.25045	-2.3691 - -1.62041	-1.91176 - -0.988662	-1.02478 - -0.659428	-0.67939 - -0.333791	0.215548 - 0.524465	< -1.20377	-0.1735 - 0.0512376	< -1.13556	≥ 1.12356	< -1.10289	≥ 1.23123	-0.622271 - -0.405256	-0.1104 - 0.0347436	≥ 0.984347	≥ 0.935366	< -0.947849	0.477439 - 0.87368	0.519875 - 0.771311	-0.183446 - -0.0669247	0.186317 - 0.36998
Ribo	YOR182C	-1.87322 - 2.96362	-3.07807 - -1.98319	-3.45235 - -1.95551	< -2.93219	-1.6315 - -1.2472	-1.62041 - -0.904866	< -1.91176	-0.0103348 - 0.237892	-0.333791 - -0.103436	-0.573237 - -0.24581	-1.20377 - -0.771468	≥ 1.34529	-0.128749 - 0.200137	0.669964 - 1.12356	-1.10289 - -0.777968	< -1.16585	0.372761 - 0.561059	-0.1104 - 0.0347436	-0.37434 - -0.193563	0.177247 - 0.326032	0.0432133 - 0.198076	≥ 0.87368	0.160593 - 0.351944	-0.0669247 - 0.0601571	0.0027569 - 0.186317
Ribo	YJL189W	-2.84061 - -2.46131	-0.789981 - -0.323711	-1.95551 - -1.12887	< -2.93219	-0.437616 - 0.116722	< -2.3691	< -1.91176	0.888346 - 1.53479	-0.103436 - 0.141737	0.878362 - 1.45871	-0.451247 - -0.164623	0.308063 - 0.528452	0.200137 - 0.459517	-0.24542 - -0.0386652	0.33614 - 0.707889	-0.282942 - -0.067954	-0.405256 - -0.174611	0.588167 - 1.0153	-0.37434 - -0.193563	-0.537477 - -0.309045	0.549829 - 0.781302	-0.900182 - -0.613833	-0.128279 - 0.0549996	0.294794 - 0.529312	≥ 0.893637
Ribo	YDR447C	-2.84061 - -2.46131	-3.07807 - -1.98319	-3.45235 - -1.95551	< -2.93219	-1.2472 - -0.437616	-0.333751 - -0.0670098	-1.91176 - -0.988662	-1.02478 - -0.659428	-0.333791 - -0.103436	-0.0742138 - 0.215548	-0.451247 - -0.164623	0.0512376 - 0.308063	-0.802946 - -0.496845	-1.22843 - -0.77954	-0.0530638 - 0.15896	-1.16585 - -0.762285	-0.0273938 - 0.138608	0.0347436 - 0.17113	-0.193563 - -0.0444716	0.0342379 - 0.177247	0.0432133 - 0.198076	< -0.900182	-0.448052 - -0.296289	-0.183446 - -0.0669247	0.36998 - 0.573122
Ribo	YKR094C	-2.46131 - -1.87322	-3.07807 - -1.98319	-3.45235 - -1.95551	-2.93219 - -1.99724	-1.2472 - -0.437616	0.370891 - 0.917994	< -1.91176	-1.02478 - -0.659428	-0.67939 - -0.333791	-0.24581 - -0.0742138	-1.20377 - -0.771468	0.308063 - 0.528452	-0.128749 - 0.200137	-0.77954 - -0.451344	-0.777968 - -0.425273	< -1.16585	0.372761 - 0.561059	-0.1104 - 0.0347436	0.527055 - 0.984347	-0.309045 - -0.0953163	0.198076 - 0.386712	-0.613833 - -0.383712	-0.296289 - -0.128279	-0.183446 - -0.0669247	0.36998 - 0.573122
Ribo	YIL148W	-3.10837 - -2.84061	-1.98319 - -1.55052	-1.95551 - -1.12887	0.531467 - 1.22558	-1.6315 - -1.2472	-2.3691 - -1.62041	< -1.91176	0.498102 - 0.888346	-1.5339 - -1.00963	0.878362 - 1.45871	-1.20377 - -0.771468	-0.794636 - -0.476743	0.777881 - 1.54386	0.489747 - 0.669964	0.33614 - 0.707889	-0.444354 - -0.282942	0.561059 - 1.01778	0.0347436 - 0.17113	0.0936803 - 0.267107	0.326032 - 0.528279	-0.0792995 - 0.0432133	0.207664 - 0.283336	-0.296289 - -0.128279	-0.183446 - -0.0669247	-0.371889 - -0.206293
Ribo	YBL072C	-3.84266 - -3.55524	-0.789981 - -0.323711	1.1829 - 1.82932	0.531467 - 1.22558	0.951233 - 1.6518	-1.62041 - -0.904866	≥ 2.10432	≥ 1.53479	1.00217 - 1.56225	0.878362 - 1.45871	0.0567379 - 0.303004	0.528452 - 0.805687	0.459517 - 0.777881	-0.24542 - -0.0386652	-0.777968 - -0.425273	0.678926 - 1.23123	< -1.00002	-1.06673 - -0.629906	-0.886108 - -0.620673	0.326032 - 0.528279	≥ 0.781302	-0.383712 - -0.147248	0.160593 - 0.351944	-0.527216 - -0.31183	-0.206293 - 0.0027569
Ribo	YLR388W	-3.84266 - -3.55524	2.27225 - 4.31204	0.125754 - 0.608969	0.0172426 - 0.531467	-2.60633 - -1.6315	-0.904866 - -0.333751	-0.327772 - -0.0921005	-1.70937 - -1.02478	-0.103436 - 0.141737	-0.24581 - -0.0742138	0.524226 - 0.812305	0.0512376 - 0.308063	-0.347348 - -0.128749	0.669964 - 1.12356	0.707889 - 1.0854	0.166896 - 0.40824	-0.0273938 - 0.138608	-1.06673 - -0.629906	0.527055 - 0.984347	0.0342379 - 0.177247	0.0432133 - 0.198076	-0.147248 - 0.0525043	-0.128279 - 0.0549996	0.529312 - 0.846813	0.0027569 - 0.186317
Ribo	YDL061C	< -3.84266	≥ 4.31204	1.82932 - 3.17619	-1.00746 - -0.433048	0.116722 - 0.575969	-0.333751 - -0.0670098	0.253326 - 0.559976	-0.235078 - -0.0103348	0.492027 - 1.00217	0.524465 - 0.878362	-0.771468 - -0.451247	-1.3658 - -0.794636	0.200137 - 0.459517	-1.22843 - -0.77954	≥ 1.0854	0.166896 - 0.40824	0.561059 - 1.01778	-0.33811 - -0.1104	-0.886108 - -0.620673	-0.537477 - -0.309045	0.386712 - 0.549829	0.283336 - 0.477439	-0.296289 - -0.128279	< -0.872897	< -0.869476
Ribo	YLR167W	-3.84266 - -3.55524	1.22464 - 2.27225	0.608969 - 1.1829	-2.93219 - -1.99724	-1.6315 - -1.2472	-0.333751 - -0.0670098	1.14374 - 2.10432	-1.70937 - -1.02478	1.00217 - 1.56225	-0.869533 - -0.573237	0.0567379 - 0.303004	< -1.3658	-0.347348 - -0.128749	-1.22843 - -0.77954	0.707889 - 1.0854	0.166896 - 0.40824	-1.00002 - -0.622271	0.588167 - 1.0153	0.0936803 - 0.267107	-1.01567 - -0.537477	-0.587246 - -0.308823	0.477439 - 0.87368	-0.296289 - -0.128279	-0.872897 - -0.527216	0.0027569 - 0.186317
Ribo	YLR333C	< -3.84266	2.27225 - 4.31204	-0.382426 - 0.125754	-2.93219 - -1.99724	-1.2472 - -0.437616	-1.62041 - -0.904866	0.559976 - 1.14374	-1.70937 - -1.02478	1.00217 - 1.56225	-0.0742138 - 0.215548	0.303004 - 0.524226	-1.3658 - -0.794636	-0.802946 - -0.496845	< -1.22843	-0.228786 - -0.0530638	0.166896 - 0.40824	-0.405256 - -0.174611	0.367606 - 0.588167	0.527055 - 0.984347	0.0342379 - 0.177247	-0.587246 - -0.308823	0.207664 - 0.283336	-0.949145 - -0.448052	-0.872897 - -0.527216	0.0027569 - 0.186317
Ribo	YOR369C	-3.55524 - -3.10837	-1.55052 - -0.789981	0.608969 - 1.1829	0.531467 - 1.22558	0.951233 - 1.6518	-0.904866 - -0.333751	-0.0921005 - 0.253326	-0.659428 - -0.235078	-1.00963 - -0.67939	< -1.59043	0.524226 - 0.812305	0.308063 - 0.528452	-0.802946 - -0.496845	0.669964 - 1.12356	-0.777968 - -0.425273	0.166896 - 0.40824	-0.405256 - -0.174611	-0.33811 - -0.1104	-0.886108 - -0.620673	< -1.01567	0.198076 - 0.386712	0.283336 - 0.477439	0.0549996 - 0.160593	-0.0669247 - 0.0601571	-0.557685 - -0.371889
